Unique.Specimen.Identifier;Family1;Order1;Sequence;Specimen.number;Source;Sex;Beak.Length_Culmen;Beak.Length_Nares;Beak.Width;Beak.Depth;Tarsus.Length;Wing.Length;Kipps.Distance;Secondary1;Hand-wing.Index;Tail.Length;Sample.Number;Measurer;Avonet.Protocol.Used;Protocol.both.pairs;Protocol.neither.pair
Cacicus solitarius_1885.11.2.133;Icteridae;PASSERIFORMES;10470;1885.11.2.133;NHMUK;M;30,5;NA;7,4;10,7;31,7;119;NA;NA;NA;116;2;GT;0;0;0
Cacicus solitarius_1885.11.2.133;Icteridae;PASSERIFORMES;10470;1885.11.2.133;NHMUK;M;33,8;22,8;7,3;11,2;30,6;128;14,6;113,4;11,4;110;1;TB;1;0;0
Calamanthus campestris_81.5.1.256;Acanthizidae;PASSERIFORMES;6196;81.5.1.256;NHMUK;U;16,2;9,2;3,2;4;23,2;56;5,4;50,6;9,6;47;2;CS;1;0;0
Calamanthus campestris_81.5.1.256;Acanthizidae;PASSERIFORMES;6196;81.5.1.256;NHMUK;U;15,5;NA;3;3,5;22,4;57;NA;NA;NA;46;1;GT;0;0;0
Calamanthus campestris_B17597;Acanthizidae;PASSERIFORMES;6196;B17597;ANWC;M;14,3;NA;2,6;3,5;NA;53;NA;NA;NA;40,5;1;NF;0;0;1
Calamanthus campestris_B17597;Acanthizidae;PASSERIFORMES;6196;B17597;ANWC;M;15,5;8,6;2,7;3,5;21,8;56;3,9;52,1;7;43;2;RC;0;0;1
Calamanthus cautus_1982.8.4;Acanthizidae;PASSERIFORMES;6193;1982.8.4;NHMUK;M;15,9;9;2,7;3,2;23,6;57;6,7;50,3;11,8;60;2;DS;1;0;0
Calamanthus cautus_1982.8.4;Acanthizidae;PASSERIFORMES;6193;1982.8.4;NHMUK;M;15,3;NA;2,6;3,3;23,5;59;NA;NA;NA;62;1;GT;0;0;0
Calamanthus fuliginosus_587910;Acanthizidae;PASSERIFORMES;6194;587910;AMNH;F;13,8;NA;2,7;3,2;NA;53;NA;NA;NA;42;1;BM;0;0;1
Calamanthus fuliginosus_587910;Acanthizidae;PASSERIFORMES;6194;587910;AMNH;F;13,6;NA;2,5;3,1;20,5;54;NA;NA;NA;47,5;2;VR;0;0;1
Calamanthus pyrrhopygius_1982.8.5;Acanthizidae;PASSERIFORMES;6192;1982.8.5;NHMUK;M;12,8;7,2;3;4,6;21,3;58;6,3;51,7;10,9;61;2;CS;1;0;0
Calamanthus pyrrhopygius_1982.8.5;Acanthizidae;PASSERIFORMES;6192;1982.8.5;NHMUK;M;13,4;NA;2,8;3,8;21,1;56;NA;NA;NA;60;1;GT;0;0;0
Calamanthus pyrrhopygius_585491;Acanthizidae;PASSERIFORMES;6192;585491;AMNH;F;14,2;NA;2,8;3,3;NA;53;NA;NA;NA;58;1;BM;0;0;1
Calamanthus pyrrhopygius_585491;Acanthizidae;PASSERIFORMES;6192;585491;AMNH;F;14,2;NA;2,8;3,3;19,8;52,5;NA;NA;NA;59;2;VR;0;0;1
Calamonastides gracilirostris_2000.1.78;Acrocephalidae;PASSERIFORMES;7541;2000.1.78;NHMUK;M;15,2;8,6;3,1;3,8;22,4;61;5,7;55,3;9,3;68;2;CS;1;0;0
Calamonastides gracilirostris_2000.1.78;Acrocephalidae;PASSERIFORMES;7541;2000.1.78;NHMUK;M;15,9;NA;2,6;NA;23,4;61;NA;NA;NA;64;1;GT;0;0;0
Calandrella acutirostris_1965.M.7206;Alaudidae;PASSERIFORMES;7324;1965.M.7206;NHMUK;M;14,5;9,5;3,8;4,7;19,9;96;28;68;29,2;67;2;CV;1;0;0
Calandrella acutirostris_1965.M.7206;Alaudidae;PASSERIFORMES;7324;1965.M.7206;NHMUK;M;14,9;NA;3,7;4,9;21,6;96;NA;NA;NA;68;1;GT;0;0;0
Calcarius pictus_86.10.14.16;Calcariidae;PASSERIFORMES;10248;86.10.14.16;NHMUK;M;11,8;NA;4,8;5,6;20,4;96;NA;NA;NA;NA;1;GT;0;0;0
Calcarius pictus_86.10.14.16;Calcariidae;PASSERIFORMES;10248;86.10.14.16;NHMUK;M;13,7;8,3;4,2;5,6;19,1;91;20,2;70,8;22,2;64;2;SRW;1;0;0
Calendulauda albescens_1933.7.14.238;Alaudidae;PASSERIFORMES;7284;1933.7.14.238;NHMUK;M;18,9;NA;4,6;5,2;24,2;92;NA;NA;NA;66;1;GT;0;0;0
Calendulauda albescens_1933.7.14.238;Alaudidae;PASSERIFORMES;7284;1933.7.14.238;NHMUK;M;18,3;11,2;4;5;24,9;90;15,4;74,6;17,1;64;2;NS;1;0;0
Calendulauda alopex_1923.8.7.2629;Alaudidae;PASSERIFORMES;7282;1923.8.7.2629;NHMUK;M;16;10,1;4,3;5,5;21,8;83;9,9;73,1;11,9;52;2;CS;1;0;0
Calendulauda alopex_1923.8.7.2629;Alaudidae;PASSERIFORMES;7282;1923.8.7.2629;NHMUK;M;16,1;NA;4,4;NA;22,7;85;NA;NA;NA;53;1;GT;0;0;0
Caligavis chrysops_1937.2.16.72;Meliphagidae;PASSERIFORMES;6144;1937.2.16.72;NHMUK;M;17,5;NA;2,4;3,7;NA;78;NA;NA;NA;68,5;1;NF;0;0;0
Caligavis chrysops_1937.2.16.72;Meliphagidae;PASSERIFORMES;6144;1937.2.16.72;NHMUK;M;18,5;8,1;2,4;3,5;18,3;77;15,4;61,6;20;70;2;PC;1;0;0
Caligavis chrysops_1964.17.572;Meliphagidae;PASSERIFORMES;6144;1964.17.572;NHMUK;F;16,2;NA;2,7;3,2;NA;78;NA;NA;NA;64,5;1;NF;0;0;0
Caligavis chrysops_1964.17.572;Meliphagidae;PASSERIFORMES;6144;1964.17.572;NHMUK;F;16,7;7,5;2,9;3;18,7;76;14,2;61,8;18,7;69;2;PC;1;0;0
Caligavis chrysops_1964.17.573;Meliphagidae;PASSERIFORMES;6144;1964.17.573;NHMUK;M;17,1;NA;2,3;3,1;NA;79;NA;NA;NA;68,5;1;NF;0;0;0
Caligavis chrysops_1964.17.573;Meliphagidae;PASSERIFORMES;6144;1964.17.573;NHMUK;M;17,5;8;2,5;3,1;18;78;15,5;62,5;19,9;70;2;PC;1;0;0
Caligavis obscura_1916.5.30.582;Meliphagidae;PASSERIFORMES;6145;1916.5.30.582;NHMUK;M;27,3;NA;3,4;4,6;NA;93;NA;NA;NA;78,5;1;NF;0;0;0
Caligavis obscura_1916.5.30.582;Meliphagidae;PASSERIFORMES;6145;1916.5.30.582;NHMUK;M;28,6;13,4;3,3;4,6;22,6;93;15,2;77,8;16,3;81;2;PC;1;0;0
Caligavis obscura_1916.5.30.599;Meliphagidae;PASSERIFORMES;6145;1916.5.30.599;NHMUK;M;24,7;NA;3;4,1;NA;90;NA;NA;NA;87,5;1;NF;0;0;0
Caligavis obscura_1916.5.30.599;Meliphagidae;PASSERIFORMES;6145;1916.5.30.599;NHMUK;M;25,8;12,6;3,1;4,1;22;94;17,9;76,1;19;82;2;PC;1;0;0
Caligavis subfrenata_1911.12.22.101;Meliphagidae;PASSERIFORMES;6146;1911.12.22.101;NHMUK;M;25;NA;3,1;4,2;26,8;105;NA;NA;NA;97;1;GT;0;0;0
Caligavis subfrenata_1911.12.22.101;Meliphagidae;PASSERIFORMES;6146;1911.12.22.101;NHMUK;M;25,9;NA;3,2;3,9;NA;101;NA;NA;NA;87,5;3;NF;0;0;0
Caligavis subfrenata_1911.12.22.101;Meliphagidae;PASSERIFORMES;6146;1911.12.22.101;NHMUK;M;27,7;12,5;3,2;4;24,9;102;17,4;84,6;17,1;98;2;PC;1;0;0
Caligavis subfrenata_1911.12.22.102;Meliphagidae;PASSERIFORMES;6146;1911.12.22.102;NHMUK;F;24,2;NA;3;3,8;NA;91;NA;NA;NA;88,5;1;NF;0;0;0
Caligavis subfrenata_1911.12.22.102;Meliphagidae;PASSERIFORMES;6146;1911.12.22.102;NHMUK;F;25,8;12,2;3,1;3,9;24;94;19,3;74,7;20,5;89;2;PC;1;0;0
Caligavis subfrenata_1916.5.30.580;Meliphagidae;PASSERIFORMES;6146;1916.5.30.580;NHMUK;F;21,9;NA;3,4;4,3;NA;90;NA;NA;NA;83,5;1;NF;0;0;0
Caligavis subfrenata_1916.5.30.580;Meliphagidae;PASSERIFORMES;6146;1916.5.30.580;NHMUK;F;23,7;11;3,4;4,1;22,8;90;14,1;75,9;15,7;84;2;PC;1;0;0
Callaeas wilsoni_72.2.10.22;Callaeidae;PASSERIFORMES;7094;72.2.10.22;NHMUK;U;32,6;15,2;9,7;13;64,3;159;23,8;135,2;15;171;2;CS;1;0;0
Callaeas wilsoni_72.2.10.22;Callaeidae;PASSERIFORMES;7094;72.2.10.22;NHMUK;U;33,6;NA;10;13,7;68;168;NA;NA;NA;173;1;GT;0;0;0
Calochaetes coccineus_1940.12.5.979;Thraupidae;PASSERIFORMES;11041;1940.12.5.979;NHMUK;M;19,6;NA;7,5;8,7;22;102;NA;NA;NA;65;1;GT;0;0;0
Calochaetes coccineus_1940.12.5.979;Thraupidae;PASSERIFORMES;11041;1940.12.5.979;NHMUK;M;18,4;11,1;6,4;8,4;20,6;100;22,1;77,9;22,1;61;2;HM;1;0;0
Calyptomena hosii_1935.10.22.193;Calyptomenidae;PASSERIFORMES;4569;1935.10.22.193;NHMUK;F;17,1;10;8,5;7,6;25,7;119;18,7;100,3;15,7;66;2;CS;1;0;0
Calyptomena hosii_1935.10.22.193;Calyptomenidae;PASSERIFORMES;4569;1935.10.22.193;NHMUK;F;17,4;NA;8,9;7,1;24,1;121;NA;NA;NA;61;1;GT;0;0;0
Calyptophilus frugivorus_1923.10.24.5;Calyptophilidae;PASSERIFORMES;10694;1923.10.24.5;NHMUK;M;23,6;NA;3,9;6,4;26,5;91;NA;NA;NA;93;2;GT;0;0;0
Calyptophilus frugivorus_1923.10.24.5;Calyptophilidae;PASSERIFORMES;10694;1923.10.24.5;NHMUK;M;25,8;14,6;3,8;6,4;27,2;90;11,1;78,9;12,3;89;1;HM;1;0;0
Calyptura cristata_95.4.1.730;Tyrannidae;PASSERIFORMES;5456;95.4.1.730;NHMUK;M;8,9;4,8;3;3,9;15,9;48;3,8;44,2;7,9;24;2;CS;1;0;0
Calyptura cristata_95.4.1.730;Tyrannidae;PASSERIFORMES;5456;95.4.1.730;NHMUK;M;9,6;NA;3,5;NA;15;48;NA;NA;NA;25;1;GT;0;0;0
Campephaga petiti_1966.16.5878;Campephagidae;PASSERIFORMES;6471;1966.16.5878;NHMUK;M;20,2;NA;6,6;5,4;20,5;94;20;74;21,3;66;2;CR;0;0;0
Campephaga petiti_1966.16.5878;Campephagidae;PASSERIFORMES;6471;1966.16.5878;NHMUK;M;18,2;10;5,2;5,7;18,8;93;20,7;72,3;22,3;86;1;CS;1;0;0
Campephaga petiti_1966.16.5880;Campephagidae;PASSERIFORMES;6471;1966.16.5880;NHMUK;M;20,4;NA;6,6;5,7;21,4;97;21;76;21,6;82;2;CR;0;0;0
Campephaga petiti_1966.16.5880;Campephagidae;PASSERIFORMES;6471;1966.16.5880;NHMUK;M;17,5;10;5,2;5,5;18,9;97;20,9;76,1;21,5;90;1;CS;1;0;0
Campephilus gayaquilensis_88.8.5.102;Picidae;PICIFORMES;3797;88.8.5.102;NHMUK;F;47,7;NA;13,6;12,2;33,8;179;NA;NA;NA;128;1;GT;0;0;0
Campephilus gayaquilensis_88.8.5.102;Picidae;PICIFORMES;3797;88.8.5.102;NHMUK;F;45,6;34,4;12,6;11,9;30,8;180;40,6;139,4;22,6;125;2;SEIJ;1;0;0
Campephilus imperialis_98.3.10.2486;Picidae;PICIFORMES;3801;98.3.10.2486;NHMUK;M;95;NA;19,1;18,7;48,8;336;NA;NA;NA;NA;1;GT;0;0;0
Campephilus imperialis_98.3.10.2486;Picidae;PICIFORMES;3801;98.3.10.2486;NHMUK;M;87;70;19,8;18,7;49,6;311;106,8;204,2;34,3;204,3;2;SEIJ;1;0;0
Campephilus robustus_1908.12.14.137;Picidae;PICIFORMES;3794;1908.12.14.137;NHMUK;M;51,4;NA;11,9;12,5;35,5;194;NA;NA;NA;126;1;GT;0;0;0
Campephilus robustus_1908.12.14.137;Picidae;PICIFORMES;3794;1908.12.14.137;NHMUK;M;52,4;42,3;11,9;12,8;33,3;194;48;146;24,7;126;2;TB/HM;1;0;0
Campethera cailliautii_1929.6.27.32;Picidae;PICIFORMES;3838;1929.6.27.32;NHMUK;M;18,6;NA;6,4;5,3;16;90;NA;NA;NA;65;1;GT;0;0;0
Campethera cailliautii_1929.6.27.32;Picidae;PICIFORMES;3838;1929.6.27.32;NHMUK;M;17,1;12,6;5,9;5,1;14,9;88;13,1;74,9;14,9;61;2;SEIJ;1;0;0
Campethera mombassica_1937.12.27.238;Picidae;PICIFORMES;3836;1937.12.27.238;NHMUK;M;26,5;NA;7,5;7,8;19,9;112;NA;NA;NA;76;1;GT;0;0;0
Campethera mombassica_1937.12.27.238;Picidae;PICIFORMES;3836;1937.12.27.238;NHMUK;M;23,8;18,2;7,1;7;17,4;110;20,8;89,2;18,9;73;2;SEIJ;1;0;0
Campethera notata_1905.12.29.395;Picidae;PICIFORMES;3837;1905.12.29.395;NHMUK;M;24,6;NA;5,8;6,7;21,3;104;NA;NA;NA;77;1;GT;0;0;0
Campethera notata_1905.12.29.395;Picidae;PICIFORMES;3837;1905.12.29.395;NHMUK;M;22,2;15,8;6,5;6,4;18,5;103;14,4;88,6;14;76;2;SEIJ;1;0;0
Campicoloides bifasciatus_1895.5.1.540;Muscicapidae;PASSERIFORMES;9321;1895.5.1.540;NHMUK;F;19,8;NA;NA;NA;31,3;92;11,6;80,4;12,6;61,3;2;APH;0;0;0
Campicoloides bifasciatus_1895.5.1.540;Muscicapidae;PASSERIFORMES;9321;1895.5.1.540;NHMUK;F;17,3;11;4,2;5,1;31,9;86;13,9;72,1;16,2;65;1;CS;1;0;0
Campylorhamphus pusillus_1940.12.5.360;Furnariidae;PASSERIFORMES;5021;1940.12.5.360;NHMUK;M;46,3;39;4;5,4;21;97;15,7;81,3;16,2;97;2;CS;1;0;0
Campylorhamphus pusillus_1940.12.5.360;Furnariidae;PASSERIFORMES;5021;1940.12.5.360;NHMUK;M;47,2;NA;3,6;4,8;22;99;NA;NA;NA;95;1;GT;0;0;0
Campylorhynchus albobrunneus_85.3.6.87;Troglodytidae;PASSERIFORMES;8620;85.3.6.87;NHMUK;M;23;14,6;4,1;4,9;25,1;78;9,8;68,2;12,6;81;2;CS;1;0;0
Campylorhynchus albobrunneus_85.3.6.87;Troglodytidae;PASSERIFORMES;8620;85.3.6.87;NHMUK;M;23,4;NA;3,8;4,4;24;80;NA;NA;NA;80;1;GT;0;0;0
Campylorhynchus capistratus_90.12.20.10;Troglodytidae;PASSERIFORMES;8625;90.12.20.10;NHMUK;M;23,7;13,4;4;5;22,6;74;7;67;9,5;76;2;CS;1;0;0
Campylorhynchus capistratus_90.12.20.10;Troglodytidae;PASSERIFORMES;8625;90.12.20.10;NHMUK;M;24,4;NA;3,3;4,8;24,9;75;NA;NA;NA;76;1;GT;0;0;0
Campylorhynchus chiapensis_1954.5.43;Troglodytidae;PASSERIFORMES;8627;1954.5.43;NHMUK;M;32,5;19,8;4,7;6,3;29,9;90;9,1;80,9;10,1;85;2;CS;1;0;0
Campylorhynchus chiapensis_1954.5.43;Troglodytidae;PASSERIFORMES;8627;1954.5.43;NHMUK;M;30,5;NA;4,4;6,1;32;103;NA;NA;NA;86;1;GT;0;0;0
Campylorhynchus griseus_1922.3.5.3436;Troglodytidae;PASSERIFORMES;8626;1922.3.5.3436;NHMUK;U;29,8;19,4;4,4;5,8;29,5;83;11,2;71,8;13,5;78;1;CS;1;0;0
Campylorhynchus griseus_1922.3.5.3436;Troglodytidae;PASSERIFORMES;8626;1922.3.5.3436;NHMUK;U;30,3;NA;4,3;5,4;29,7;90;NA;NA;NA;83;2;GT;0;0;0
Campylorhynchus jocosus_85.3.6.106;Troglodytidae;PASSERIFORMES;8630;85.3.6.106;NHMUK;M;27,1;17,4;3,7;5,5;22,8;78;12;66;15,4;66,5;2;CS;1;0;0
Campylorhynchus jocosus_85.3.6.106;Troglodytidae;PASSERIFORMES;8630;85.3.6.106;NHMUK;M;27,3;NA;3,7;NA;23,5;76;NA;NA;NA;67;1;GT;0;0;0
Campylorhynchus nuchalis_85.3.6.153;Troglodytidae;PASSERIFORMES;8616;85.3.6.153;NHMUK;F;21;13,2;3,8;4,2;20,6;74,5;10,8;63,7;14,5;76;2;CS;1;0;0
Campylorhynchus nuchalis_85.3.6.153;Troglodytidae;PASSERIFORMES;8616;85.3.6.153;NHMUK;F;21,5;NA;3,5;3,9;21,2;71;NA;NA;NA;73;1;GT;0;0;0
Campylorhynchus yucatanicus_86.9.15.16;Troglodytidae;PASSERIFORMES;8629;86.9.15.16;NHMUK;U;26,9;17,9;4,2;5,1;22,8;73,5;9,3;64,2;12,7;80;2;AP;1;0;0
Campylorhynchus yucatanicus_86.9.15.16;Troglodytidae;PASSERIFORMES;8629;86.9.15.16;NHMUK;U;30,9;NA;3,8;5;23,2;74;NA;NA;NA;77;1;GT;0;0;0
Cantorchilus griseus_1947.45.1;Troglodytidae;PASSERIFORMES;8665;1947.45.1;NHMUK;F;17,6;10,8;2,7;3,5;18;50;7,1;42,9;14,2;34;2;CV;1;0;0
Cantorchilus griseus_1947.45.1;Troglodytidae;PASSERIFORMES;8665;1947.45.1;NHMUK;F;18;NA;2,8;3,6;17,5;57;NA;NA;NA;35;1;GT;0;0;0
Cantorchilus leucopogon_1901.10.14.7;Troglodytidae;PASSERIFORMES;8655;1901.10.14.7;NHMUK;M;17,8;11,8;3,5;3,7;19,1;56;6,9;49,1;12,3;39;2;CV;1;0;0
Cantorchilus leucopogon_1901.10.14.7;Troglodytidae;PASSERIFORMES;8655;1901.10.14.7;NHMUK;M;18,5;NA;3,5;3,5;19,8;54;NA;NA;NA;38;1;GT;0;0;0
Cantorchilus longirostris_85.3.6.280;Troglodytidae;PASSERIFORMES;8659;85.3.6.280;NHMUK;M;26;18,2;3,8;4,4;23,4;63;7,3;55,7;11,6;53;2;CS;1;0;0
Cantorchilus longirostris_85.3.6.280;Troglodytidae;PASSERIFORMES;8659;85.3.6.280;NHMUK;M;26,3;NA;3,6;4;24,1;62;NA;NA;NA;53;1;GT;0;0;0
Capito auratus_88.12.20.31;Capitonidae;PICIFORMES;3640;88.12.20.31;NHMUK;M;23,4;15,8;6,5;10,6;21,7;85,5;14,6;70,9;17,1;65;2;CS;1;0;0
Capito auratus_88.12.20.31;Capitonidae;PICIFORMES;3640;88.12.20.31;NHMUK;M;24,1;NA;8,1;10,4;24,7;85;NA;NA;NA;53;1;GT;0;0;0
Capito aurovirens_88.12.20.19;Capitonidae;PICIFORMES;3630;88.12.20.19;NHMUK;M;21,8;15,5;6,6;9,6;22,1;80,5;6,7;73,8;8,3;72;2;CS;1;0;0
Capito aurovirens_88.12.20.19;Capitonidae;PICIFORMES;3630;88.12.20.19;NHMUK;M;21,9;NA;8,1;9,8;24,1;81;NA;NA;NA;71;1;GT;0;0;0
Capito hypoleucus_98.3.12.2;Capitonidae;PICIFORMES;3634;98.3.12.2;NHMUK;M;26;NA;7,3;11,7;23,1;88;NA;NA;NA;64;1;GT;0;0;0
Capito hypoleucus_98.3.12.2;Capitonidae;PICIFORMES;3634;98.3.12.2;NHMUK;M;26,1;18,6;7,8;10,4;22,6;85;14;71;16,5;54;2;NS;1;0;0
Capito squamatus_1902.5.5.22;Capitonidae;PICIFORMES;3633;1902.5.5.22;NHMUK;M;23;15,8;7;10,2;20,5;81,5;13,4;68,1;16,4;61;2;CS;1;0;0
Capito squamatus_1902.5.5.22;Capitonidae;PICIFORMES;3633;1902.5.5.22;NHMUK;M;23;NA;6,9;10,2;22,2;82;NA;NA;NA;54;1;GT;0;0;0
Cardellina rubrifrons_1892.4.20.1969;Parulidae;PASSERIFORMES;10668;1892.4.20.1969;NHMUK;F;10;NA;NA;NA;17,3;66,1;13,8;52,3;20,9;58,9;2;APH;0;0;0
Cardellina rubrifrons_1892.4.20.1969;Parulidae;PASSERIFORMES;10668;1892.4.20.1969;NHMUK;F;11,6;7;3,3;4,3;15,2;62;13,9;48,1;22,4;61;1;CS;1;0;0
Cardellina versicolor_1898.12.1.688;Parulidae;PASSERIFORMES;10670;1898.12.1.688;NHMUK;F;11,1;NA;NA;NA;18,8;60,9;10,2;50,7;16,7;53,9;2;APH;0;0;0
Cardellina versicolor_1898.12.1.688;Parulidae;PASSERIFORMES;10670;1898.12.1.688;NHMUK;F;10,3;6,4;3,3;3,5;18,3;57,5;8,9;48,6;15,5;54;1;CS;1;0;0
Cardellina versicolor_1898.12.1.689;Parulidae;PASSERIFORMES;10670;1898.12.1.689;NHMUK;F;10,3;NA;NA;NA;18,8;60,2;9;51,2;15;53,8;2;APH;0;0;0
Cardellina versicolor_1898.12.1.689;Parulidae;PASSERIFORMES;10670;1898.12.1.689;NHMUK;F;10,9;6,2;3,3;3,8;18,6;57;8,4;48,6;14,7;55;1;CS;1;0;0
Cardinalis phoeniceus_1885.12.14.217;Cardinalidae;PASSERIFORMES;10745;1885.12.14.217;NHMUK;M;16;NA;NA;NA;23,3;82,9;11,6;71,3;14;79,6;2;APH;0;0;0
Cardinalis phoeniceus_1885.12.14.217;Cardinalidae;PASSERIFORMES;10745;1885.12.14.217;NHMUK;M;20,2;13,4;8,2;13,1;22,2;81;9,4;71,6;11,6;86;1;CS;1;0;0
Cardinalis phoeniceus_1885.2.10.34;Cardinalidae;PASSERIFORMES;10745;1885.2.10.34;NHMUK;F;15,1;NA;NA;NA;22,9;85;13,9;71,1;16,4;75,1;2;APH;0;0;0
Cardinalis phoeniceus_1885.2.10.34;Cardinalidae;PASSERIFORMES;10745;1885.2.10.34;NHMUK;F;19,5;12,9;7,9;13,1;25,7;84;12,3;71,7;14,6;80;1;CS;1;0;0
Cardinalis phoeniceus_85.12.14.217;Cardinalidae;PASSERIFORMES;10745;85.12.14.217;NHMUK;M;20,2;13,4;8,2;13,1;22,2;81;9,4;71,6;11,6;86;2;CS;1;0;0
Cardinalis phoeniceus_85.12.14.217;Cardinalidae;PASSERIFORMES;10745;85.12.14.217;NHMUK;M;20;NA;10;13,2;22,9;82;NA;NA;NA;89;1;GT;0;0;0
Cardinalis sinuatus_88.10.10.9184;Cardinalidae;PASSERIFORMES;10746;88.10.10.9184;NHMUK;M;17;10,8;7;12,6;25,6;93;13,6;79,4;14,6;110;2;CS;1;0;0
Cardinalis sinuatus_88.10.10.9184;Cardinalidae;PASSERIFORMES;10746;88.10.10.9184;NHMUK;M;16,2;NA;10,5;11,8;26,1;96;NA;NA;NA;109;1;GT;0;0;0
Carpodacus pulcherrimus_1948.27.670;Fringillidae;PASSERIFORMES;10109;1948.27.670;NHMUK;M;13,6;NA;5,8;6,6;20;79;NA;NA;NA;65;1;GT;0;0;0
Carpodacus pulcherrimus_1948.27.670;Fringillidae;PASSERIFORMES;10109;1948.27.670;NHMUK;M;12,5;8,6;6,1;7,3;19;80,5;21,9;58,6;27,2;68;2;NT;1;0;0
Carpodacus roborowskii_1965.M.17870;Fringillidae;PASSERIFORMES;10118;1965.M.17870;NHMUK;M;17,3;NA;6,4;6,1;19,7;NA;NA;NA;NA;76;1;GT;0;0;0
Carpodacus roborowskii_1965.M.17870;Fringillidae;PASSERIFORMES;10118;1965.M.17870;NHMUK;M;15,5;11,5;6,5;6,4;16,7;122;41;81;33,6;78;2;NT;1;0;0
Carpodacus rubicilla_1960.16.11;Fringillidae;PASSERIFORMES;10121;1960.16.11;NHMUK;M;17,9;NA;9,5;11,2;24,8;120;NA;NA;NA;96;1;GT;0;0;0
Carpodacus rubicilla_1960.16.11;Fringillidae;PASSERIFORMES;10121;1960.16.11;NHMUK;M;15,5;11,5;8,3;11,2;21,7;118;37,2;80,8;31,5;86;2;NT;1;0;0
Carpodacus sibiricus_1907.12.20.311;Fringillidae;PASSERIFORMES;10122;1907.12.20.311;NHMUK;M;11,3;NA;5;6,7;16,6;72;NA;NA;NA;95;1;GT;0;0;0
Carpodacus sibiricus_1907.12.20.311;Fringillidae;PASSERIFORMES;10122;1907.12.20.311;NHMUK;M;11,3;6,8;6,2;7,5;15,4;72;16,5;55,5;22,9;90;2;NT;1;0;0
Carpodacus waltoni_1912.9.23.148;Fringillidae;PASSERIFORMES;10108;1912.9.23.148;NHMUK;M;12;NA;5,5;6,6;20,3;73;NA;NA;NA;62;1;GT;0;0;0
Carpodacus waltoni_1912.9.23.148;Fringillidae;PASSERIFORMES;10108;1912.9.23.148;NHMUK;M;11;7,8;5,6;6,8;18,3;72;14;58;19,4;62;2;NT;1;0;0
Carpodectes antoniae_88.1.1.1858;Cotingidae;PASSERIFORMES;5405;88.1.1.1858;NHMUK;M;19,1;NA;6,4;7,4;24,8;142;NA;NA;NA;71;1;GT;0;0;0
Carpodectes antoniae_88.1.1.1858;Cotingidae;PASSERIFORMES;5405;88.1.1.1858;NHMUK;M;20,6;11,6;6,5;7;24,8;140;25;115;17,9;68;2;PC;1;0;0
Carpodectes hopkei_98.3.12.8;Cotingidae;PASSERIFORMES;5404;98.3.12.8;NHMUK;M;23,1;NA;6,3;7,5;23,7;154;NA;NA;NA;95;1;GT;0;0;0
Carpodectes hopkei_98.3.12.8;Cotingidae;PASSERIFORMES;5404;98.3.12.8;NHMUK;M;21,8;11,3;7,7;7,3;23,1;157;21,5;135,5;13,7;94;2;PC;1;0;0
Carpornis melanocephala_95.4.1.888;Cotingidae;PASSERIFORMES;5356;95.4.1.888;NHMUK;M;19,7;9,6;5,2;6,5;20,7;110;23,1;86,9;21;89;2;CS;1;0;0
Carpornis melanocephala_95.4.1.888;Cotingidae;PASSERIFORMES;5356;95.4.1.888;NHMUK;M;18,6;NA;5;5,9;20,3;113;NA;NA;NA;90;1;GT;0;0;0
Carterornis castus_1883.5.30.73;Monarchidae;PASSERIFORMES;6826;1883.5.30.73;NHMUK;M;16,3;NA;4,9;4,2;19,8;70;11;59;15,7;67;1;CR;0;0;0
Carterornis castus_1883.5.30.73;Monarchidae;PASSERIFORMES;6826;1883.5.30.73;NHMUK;M;15,7;9,1;3,6;4,5;19,3;66;12;54;18,2;61;2;CS;1;0;0
Carterornis leucotis_1964.60.837;Monarchidae;PASSERIFORMES;6824;1964.60.837;NHMUK;M;16,1;NA;4,2;NA;NA;66;NA;NA;NA;64;2;BM;0;0;1
Carterornis leucotis_1964.60.837;Monarchidae;PASSERIFORMES;6824;1964.60.837;NHMUK;M;16,7;NA;4,8;NA;19;70;12;58;17,1;61;1;CR;0;0;1
Carterornis leucotis_1964.60.840;Monarchidae;PASSERIFORMES;6824;1964.60.840;NHMUK;F;13,9;NA;4,2;4;NA;68;NA;NA;NA;64;2;BM;0;0;0
Carterornis leucotis_1964.60.840;Monarchidae;PASSERIFORMES;6824;1964.60.840;NHMUK;F;14,7;8,6;4,2;4,3;17;67;10,3;56,7;15,4;66;1;CS;1;0;0
Carterornis leucotis_1964.60.852;Monarchidae;PASSERIFORMES;6824;1964.60.852;NHMUK;F;13,7;NA;4,5;4,3;NA;70;NA;NA;NA;65;2;BM;0;0;0
Carterornis leucotis_1964.60.852;Monarchidae;PASSERIFORMES;6824;1964.60.852;NHMUK;F;12,5;8,7;3,8;4,3;17,2;71;14,5;56,5;20,4;69;1;CS;1;0;0
Carterornis leucotis_1964.60.853;Monarchidae;PASSERIFORMES;6824;1964.60.853;NHMUK;M;15,6;NA;4,1;3,9;NA;71;NA;NA;NA;64;2;BM;0;0;1
Carterornis leucotis_1964.60.853;Monarchidae;PASSERIFORMES;6824;1964.60.853;NHMUK;M;15,9;NA;5;4,2;19,5;71;13;58;18,3;64;1;CR;0;0;1
